player,turn,p1_draws,p2_draws,hand,stop_prob,draw_prob,visits
2,17,9,8,1-1-3-8,0.10526315789473684,0.8947368421052632,19
2,17,9,8,1-1-4-4,0.00014392630972941855,0.9998560736902706,10422
2,17,9,8,1-1-4-5,0.0004017139796464917,0.9995982860203535,7468
2,17,9,8,1-1-4-6,0.0009914077990746861,0.9990085922009253,1513
2,17,9,8,1-1-4-7,0.04932735426008968,0.9506726457399103,223
2,17,9,8,1-1-4-8,0.20833333333333334,0.7916666666666666,24
2,17,9,8,1-1-5-5,0.0040365040365040366,0.995963495963496,2849
2,17,9,8,1-1-5-6,0.0009933774834437086,0.9990066225165563,1510
2,17,9,8,1-1-5-7,0.002066115702479339,0.9979338842975206,242
2,17,9,8,1-1-5-8,0.03333333333333333,0.9666666666666667,15
2,17,9,8,1-1-6-6,0.010476190476190476,0.9895238095238095,525
2,17,9,8,1-1-6-7,0.015306122448979591,0.9846938775510204,196
2,17,9,8,1-1-6-8,0.9411764705882353,0.058823529411764705,17
2,17,9,8,1-1-7-7,0.02830188679245283,0.9716981132075472,53
2,17,9,8,1-1-7-8,0.14285714285714285,0.8571428571428571,21
2,17,9,8,1-1-8-8,0.16666666666666666,0.8333333333333334,3
2,17,9,8,1-1-8-9,0.5,0.5,2
2,17,9,8,1-2-2-2,4.266332944622998e-05,0.9999573366705538,35159
2,17,9,8,1-2-2-3,0.00010689307638273829,0.9998931069236172,65486
2,17,9,8,1-2-2-4,3.8284839203675343e-05,0.9999617151607963,26120
2,17,9,8,1-2-2-5,0.00013766519823788548,0.9998623348017621,7264
2,17,9,8,1-2-2-6,0.0006600660066006601,0.9993399339933994,1515
2,17,9,8,1-2-2-7,0.009900990099009901,0.9900990099009901,202
2,17,9,8,1-2-2-8,0.038461538461538464,0.9615384615384616,13
2,17,9,8,1-2-2-9,0.5,0.5,1
2,17,9,8,1-2-3-3,6.849181033639264e-05,0.9999315081896636,51101
2,17,9,8,1-2-3-4,7.954183900731785e-05,0.9999204581609927,50288
2,17,9,8,1-2-3-5,0.0002375619357904025,0.9997624380642096,14733
2,17,9,8,1-2-3-6,0.0004887585532746823,0.9995112414467253,3069
2,17,9,8,1-2-3-7,0.006067961165048544,0.9939320388349514,412
2,17,9,8,1-2-3-8,0.013513513513513514,0.9864864864864865,37
2,17,9,8,1-2-3-9,0.5,0.5,1
